Where was the designer of REP Parasol born,where was the designer of <A> born,['http://dbpedia.org/resource/REP_Parasol'],['http://dbpedia.org/resource/REP_Parasol'],1.0,1.0
What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher,what is the common affiliation of the at <A> alma mater of the <B>,"[""http://dbpedia.org/resource/Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt"", 'http://dbpedia.org/resource/Duncan_U._Fletcher']","[""http://dbpedia.org/resource/Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt"", 'http://dbpedia.org/resource/Vanderbilt']",0.5,0.5
"What is the hometown of Nader Guirat, where Josef Johansson was born too","what is the hometown of <B>, where <A> was born too","['http://dbpedia.org/resource/Josef_Johansson', 'http://dbpedia.org/resource/Nader_Guirat']","['http://dbpedia.org/resource/Nader_Guirat', 'http://dbpedia.org/resource/Josef_Johansson']",1.0,1.0
What tv series can be said to be related to the sarah jane adventure and dr who confidential,what tv series can be said to be related to <A> and dr <B>,"['http://dbpedia.org/resource/The_Sarah_Jane_Adventures', 'http://dbpedia.org/resource/Doctor_Who_Confidential']","['http://dbpedia.org/resource/Category:Lists_of_The_Sarah_Jane_Adventures_characters', 'http://dbpedia.org/resource/Dr_who_confidential']",0.0,0.0
How many shows does HBO have,how many shows does <A> have,['http://dbpedia.org/resource/HBO'],['http://dbpedia.org/resource/HBO'],1.0,1.0
Is Nikolai Morozov the former coach of Stanislav Morozov,is <B> the former coach of <A>,"['http://dbpedia.org/resource/Stanislav_Morozov', 'http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)']","['http://dbpedia.org/resource/Nikolai_Morozov', 'http://dbpedia.org/resource/Stanislav_Morozov']",0.5,0.5
What is the common genere of Abhijit Kunte and Kasparov ,what is the common genere of <A> and <B> ,"['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Virtual_Kasparov']","['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Kasparov']",0.5,0.5
On how many different grounds were seasons chaired by Ronaldo held,on how many different grounds were seasons chaired by <A> held,['http://dbpedia.org/resource/Ronaldo'],['http://dbpedia.org/resource/Ronaldo'],1.0,1.0
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ,which source country of samurabsheron <A> is the birth place of <B> ,"['http://dbpedia.org/resource/Samur–Absheron_channel', 'http://dbpedia.org/resource/Anar_Salmanov']","['http://dbpedia.org/resource/A-Channel', 'http://dbpedia.org/resource/Anar_Salmanov']",0.5,0.5
Where was the battle fought where 2nd Foreign Infantry Regiment participated  ,where was the battle fought where <A> participated ,['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],1.0,1.0
What is the operator of SR class 3Sub ,what is the operator of <A> ,['http://dbpedia.org/resource/SR_class_3Sub'],['http://dbpedia.org/resource/SR_class_3Sub'],1.0,1.0
Which band's  former member are Kevin Jonas and Joe Jonas,which band former member are <A> and <B>,"['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Joe_Jonas']","['http://dbpedia.org/resource/Joe_Jonas', 'http://dbpedia.org/resource/Kevin_Jonas']",1.0,1.0
Did Timm Gunn guest in Sunrise (HIMYM),did timm <B> guest in <A> (himym),"['http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)', 'http://dbpedia.org/resource/Tim_Gunn']","['http://dbpedia.org/resource/Gunn', 'http://dbpedia.org/resource/Sunrise']",0.0,0.0
Name the tenants of O.co Coliseum ,name the tenants of <A> ,['http://dbpedia.org/resource/O.co_Coliseum'],['http://dbpedia.org/resource/O.co_Coliseum'],1.0,1.0
Is north america one of the destinations of airtours airways,is <B> one of the destinations of <A>,"['http://dbpedia.org/resource/Airtours_International_Airways', 'http://dbpedia.org/resource/North_America']","['http://dbpedia.org/resource/Category:1325_in_North_America', 'http://dbpedia.org/resource/AirTran_Airways']",0.0,0.0
Who have done their PhDs under a National Medal of Science winner,who have done their phds under a <A> winner,['http://dbpedia.org/resource/National_Medal_of_Science'],['http://dbpedia.org/resource/National_Medal_of_Science'],1.0,1.0
Name the mascot of the military branch of William Harper.,name the mascot of the military branch of <A> harper.,['http://dbpedia.org/resource/William_Harper_(Rhodesian_politician)'],['http://dbpedia.org/resource/College_of_William_&_Mary'],0.0,0.0
"How many tenats have been there, of the constructions of PCL constructures","how many tenats have been there, of the constructions of <A> constructures",['http://dbpedia.org/resource/PCL_Construction'],['http://dbpedia.org/resource/PCL'],0.0,0.0
Was Kevin Jonas a part of Jonas brothers,was <B> a part of <A>,"['http://dbpedia.org/resource/Jonas_Brothers', 'http://dbpedia.org/resource/Kevin_Jonas']","['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Jonas_Brothers']",1.0,1.0
"What was the book that lead to Sagan's Cosmos, about","what was the that lead to <A> cosmos, about",['http://dbpedia.org/resource/Cosmos_(Carl_Sagan_book)'],['http://dbpedia.org/resource/BC_Book_Prizes'],0.0,0.0
"Which kind of conventions are held in Rosemont, Illinois",which kind of conventions are held in <A>,"['http://dbpedia.org/resource/Rosemont,_Illinois']","['http://dbpedia.org/resource/Rosemont,_Illinois']",1.0,1.0
What are the type of Greenup County High School,what are the type of <A>,['http://dbpedia.org/resource/Greenup_County_High_School'],['http://dbpedia.org/resource/Greenup_County_High_School'],1.0,1.0
List the teams for which Bobby Hoppe played ,list the teams for which <A> played ,['http://dbpedia.org/resource/Bobby_Hoppe'],['http://dbpedia.org/resource/Bobby_Hoppe'],1.0,1.0
What are some famous works of the writer of The Second Coming,what are some famous works of writer of <A>,['http://dbpedia.org/resource/The_Second_Coming_(TV_serial)'],['http://dbpedia.org/resource/The_Second_Coming'],0.0,0.0
How many books have been penned by Miguel de Cervantes,how many books have been penned by <A>,['http://dbpedia.org/resource/Miguel_de_Cervantes'],['http://dbpedia.org/resource/Miguel_de_Cervantes'],1.0,1.0
Which labels signs up progressive rock bands,which labels signs up <A> bands,['http://dbpedia.org/resource/Progressive_rock'],['http://dbpedia.org/resource/Progressive_rock'],1.0,1.0
"What are the schools whose city is Reading, Berkshire",what are the schools whose city is <A>,"['http://dbpedia.org/resource/Reading,_Berkshire']","['http://dbpedia.org/resource/Reading,_Berkshire']",1.0,1.0
Which magazine's editor is married to Crystal Harris,which magazine editor is married to <A>,['http://dbpedia.org/resource/Crystal_Harris'],['http://dbpedia.org/resource/Crystal_Harris'],1.0,1.0
Does the west thurrock come under Essex county,does the <A> come under <B> county,"['http://dbpedia.org/resource/West_Thurrock', 'http://dbpedia.org/resource/Essex']","['http://dbpedia.org/resource/West_Thurrock', 'http://dbpedia.org/resource/Braintree,_Essex']",0.5,0.5
In which television shows have Steven Moffat served as an executive producer,in which television shows have <A> served as an executive producer,['http://dbpedia.org/resource/Steven_Moffat'],['http://dbpedia.org/resource/Steven_Moffat'],1.0,1.0
Which shareholder of Dagenham wind turbines is also the parent company of the Ford Falcon Cobra,which shareholder of <B> is also the parent company of the <A>,"['http://dbpedia.org/resource/Ford_Falcon_Cobra', 'http://dbpedia.org/resource/Dagenham_wind_turbines']","['http://dbpedia.org/resource/Dagenham_wind_turbines', 'http://dbpedia.org/resource/Ford_Falcon_Cobra']",1.0,1.0
What are the airlines whose hub is San Francisco International Airport,what are the airlines whose hub is <A>,['http://dbpedia.org/resource/San_Francisco_International_Airport'],['http://dbpedia.org/resource/San_Francisco_International_Airport'],1.0,1.0
Where can I find things run by the maritime museum of San Diego,where can i find things run by the <A>,['http://dbpedia.org/resource/Maritime_Museum_of_San_Diego'],['http://dbpedia.org/resource/Maritime_Museum_of_San_Diego'],1.0,1.0
"What is the local authority of the Trinity School, Brentwood and place of birth of the Sarah Walker (badminton) ",what is the local authority of the <A> and place of birth of the <B> ,"['http://dbpedia.org/resource/Trinity_School,_Brentwood', 'http://dbpedia.org/resource/Sarah_Walker_(badminton)']","['http://dbpedia.org/resource/Trinity_School,_Brentwood', 'http://dbpedia.org/resource/Sarah_Walker_(badminton)']",1.0,1.0
How many services does 21Vianet provide,how many services does <A> provide,['http://dbpedia.org/resource/21Vianet'],['http://dbpedia.org/resource/21Vianet'],1.0,1.0
Which planet was discovered by Johann Gottfired and Urbain Le Verrier ,which planet was discovered by <A> gottfired and <B> ,"['http://dbpedia.org/resource/Johann_Gottfried_Galle', 'http://dbpedia.org/resource/Urbain_Le_Verrier']","['http://dbpedia.org/resource/Johann_Strauss_II', 'http://dbpedia.org/resource/Urbain_Le_Verrier']",0.5,0.5
where did the office holder died  who is successor to Elmer Burkett ,where did the office holder died who is successor to <A> ,['http://dbpedia.org/resource/Elmer_Burkett'],['http://dbpedia.org/resource/Elmer_Burkett'],1.0,1.0
"Name the team for which Hensley Meulens played, whihc was also the debut team od Steve Ontiveros ","name the team for which <B> played, whihc was also the debut team od <A> ","['http://dbpedia.org/resource/Steve_Ontiveros_(infielder)', 'http://dbpedia.org/resource/Hensley_Meulens']","['http://dbpedia.org/resource/Hensley_Meulens', 'http://dbpedia.org/resource/Steve_Ontiveros']",0.5,0.5
List the actors of  Lucy Sullivan Is Getting Married,list the actors of <A>,['http://dbpedia.org/resource/Lucy_Sullivan_Is_Getting_Married'],['http://dbpedia.org/resource/Lucy_Sullivan_Is_Getting_Married'],1.0,1.0
Name the island with archipelago as Society Islands and has the largest city named Faaa ,name the island with archipelago as <B> and has the largest city named <A> ,"['http://dbpedia.org/resource/Faaa', 'http://dbpedia.org/resource/Society_Islands']","['http://dbpedia.org/resource/Society_Islands', 'http://dbpedia.org/resource/Faaa']",1.0,1.0
Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one,who started at the pole position in both <A> the 94 <B> one,"['http://dbpedia.org/resource/1997_Canadian_Grand_Prix', 'http://dbpedia.org/resource/1994_Spanish_Grand_Prix']","['http://dbpedia.org/resource/Category:1907_in_Grand_Prix_racing', 'http://dbpedia.org/resource/Category:10th-century_Spanish_women']",0.0,0.0
Who appointed the governor under whom Richard Winn served,who appointed the governor under whom <A> served,['http://dbpedia.org/resource/Richard_Winn'],['http://dbpedia.org/resource/Richard_Winn'],1.0,1.0
What company involved in the development of Sherlock did Arthur Levinson work for,what company involved in the development of <B> did <A> work for,"['http://dbpedia.org/resource/Arthur_D._Levinson', 'http://dbpedia.org/resource/Sherlock_(software)']","['http://dbpedia.org/resource/Sherlock', 'http://dbpedia.org/resource/Arthur_Levinson']",0.0,0.0
Which tenants of the Master Card center is also th draft team of Sam Carrrick ,which tenants of the <A> center is also th draft team of <B> carrrick ,"['http://dbpedia.org/resource/MasterCard_Centre', 'http://dbpedia.org/resource/Sam_Carrick']","['http://dbpedia.org/resource/Master_Card', 'http://dbpedia.org/resource/Sam_&_Cat']",0.0,0.0
Who produced the TV shows for Fremantle Media,who produced the tv shows for <A>,['http://dbpedia.org/resource/FremantleMedia'],['http://dbpedia.org/resource/Fremantle_Media'],0.0,0.0
What is the style of architecture of South Loop Printing House District ,what is the style of architecture of <A> ,['http://dbpedia.org/resource/South_Loop_Printing_House_District'],['http://dbpedia.org/resource/South_Loop_Printing_House_District'],1.0,1.0
Whose provides the service of  Outlook and also products  such as Visual Studio,whose provides the service of <A> and also products such as <B>,"['http://dbpedia.org/resource/Outlook.com', 'http://dbpedia.org/resource/Microsoft_Visual_Studio']","['http://dbpedia.org/resource/Visual_Studio', 'http://dbpedia.org/resource/Outlook']",0.0,0.0
Is Ombla originate in Croatia,is <A> originate in <B>,"['http://dbpedia.org/resource/Ombla', 'http://dbpedia.org/resource/Croatia']","['http://dbpedia.org/resource/Ombla', 'http://dbpedia.org/resource/Category:1506_in_Croatia']",0.5,0.5
What is the nationality of Newin Chidchob ,what is the nationality of <A> ,['http://dbpedia.org/resource/Newin_Chidchob'],['http://dbpedia.org/resource/Newin_Chidchob'],1.0,1.0
In which team did Dave Bing and Ron Reed started their basketball career,in which team did <A> and <B> started their basketball career,"['http://dbpedia.org/resource/Dave_Bing', 'http://dbpedia.org/resource/Ron_Reed']","['http://dbpedia.org/resource/Dave_Bing', 'http://dbpedia.org/resource/Ron_Reed']",1.0,1.0
Was Ganymede discovered by Galileo Galilei,was <A> discovered by <B>,"['http://dbpedia.org/resource/Ganymede_(moon)', 'http://dbpedia.org/resource/Galileo_Galilei']","['http://dbpedia.org/resource/Ganymede', 'http://dbpedia.org/resource/Galileo_Galilei']",0.5,0.5
List some musicians associated with famous guitar players,list some musicians associated with famous <A> players,['http://dbpedia.org/resource/Guitar'],['http://dbpedia.org/resource/Guitar'],1.0,1.0
What are the awards won by the producer of Elizabeth: The Golden Age,what are awards won by producer of <A>,['http://dbpedia.org/resource/Elizabeth:_The_Golden_Age_(soundtrack)'],['http://dbpedia.org/resource/Elizabeth:_The_Golden_Age'],0.0,0.0
With what company is the service OneDrive associated,with what company is the service <A> associated,['http://dbpedia.org/resource/OneDrive'],['http://dbpedia.org/resource/OneDrive'],1.0,1.0
"Name the university whose affiliations's foundation place is Washington, D.C.",name the university whose affiliations foundation place is <A>,"['http://dbpedia.org/resource/Washington,_D.C.']","['http://dbpedia.org/resource/Category:1793_in_Washington,_D.C.']",0.0,0.0
Name presidents of the schools which have queen noor of Jordan as one of them ,name presidents of the schools which have <A> as one of them ,['http://dbpedia.org/resource/Queen_Noor_of_Jordan'],['http://dbpedia.org/resource/Queen_Noor'],0.0,0.0
Who appointed the governor under which Robert Witherspoon worked,who appointed the governor under which <A> worked,['http://dbpedia.org/resource/Robert_Witherspoon'],['http://dbpedia.org/resource/Robert_Witherspoon'],1.0,1.0
Who is the producer of the song which is the previous work of He's a Liar ,who is the producer of the song which is the previous work of he a <A> ,"[""http://dbpedia.org/resource/He's_a_Liar""]",['http://dbpedia.org/resource/Liar'],0.0,0.0
"List the base currency of the country whose anthem is Oj, svijetla majska zoro.",list the base currency of the country whose anthem is <A>.,"['http://dbpedia.org/resource/Oj,_svijetla_majska_zoro']",['http://dbpedia.org/resource/Oj_svijetla_majska_zoro'],0.0,0.0
Who gave the voice for Allen Walker ,who gave the voice for <A> ,['http://dbpedia.org/resource/Allen_Walker'],['http://dbpedia.org/resource/Allen_Walker'],1.0,1.0
Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus,who is associated to <A> and <B>,"['http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus_(consul_48_BC)', 'http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus']","['http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus', 'http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus']",0.5,0.5
Which country has given citizenship to both saima chowdhury and edmund john,which country has given citizenship to both <A> and <B>,"['http://dbpedia.org/resource/Saima_Chowdhury', 'http://dbpedia.org/resource/Edmund_John']","['http://dbpedia.org/resource/Shamim_Chowdhury', 'http://dbpedia.org/resource/Edmund_John']",0.5,0.5
Who is the person that first ascented the Cathedral Peak and Mount Hoffmann,who is person that first ascented cadral <A> and <B>,"['http://dbpedia.org/resource/Cathedral_Peak_(California)', 'http://dbpedia.org/resource/Mount_Hoffmann']","['http://dbpedia.org/resource/Cathedral_of_the_Peak', 'http://dbpedia.org/resource/10,000_metres_at_the_Olympics']",0.0,0.0
What university campuses are situated in Indiana,what university campuses are situated in <A>,['http://dbpedia.org/resource/Indiana'],['http://dbpedia.org/resource/Category:1805_in_Indiana'],0.0,0.0
Where is the swedish covenant hospital,where is the <A>,['http://dbpedia.org/resource/Swedish_Covenant_Hospital'],['http://dbpedia.org/resource/Swedish_Covenant_Hospital'],1.0,1.0
Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee,which composer of <A> is the subsequent work of the <B>,"['http://dbpedia.org/resource/Girl_from_the_North_Country', 'http://dbpedia.org/resource/Moondog_Matinee']","['http://dbpedia.org/resource/North_Country', 'http://dbpedia.org/resource/Girl_From_Rio']",0.0,0.0
What is the television show whose vocals are performed by  April Stewart and Mona Marshall,what is the television show whose vocals are performed by <A> and <B>,"['http://dbpedia.org/resource/April_Stewart', 'http://dbpedia.org/resource/Mona_Marshall']","['http://dbpedia.org/resource/April_Stewart', 'http://dbpedia.org/resource/Mona_Marshall']",1.0,1.0
Name the members of  boards of Freedom of the City and Trinity House,name the members of boards of <A> and <B>,"['http://dbpedia.org/resource/Freedom_of_the_City', 'http://dbpedia.org/resource/Trinity_House']","['http://dbpedia.org/resource/Category:1793_by_city', 'http://dbpedia.org/resource/Trinity_House']",0.5,0.5
Was Reza Amrollahi born in Iran,was <A> born in <B>,"['http://dbpedia.org/resource/Reza_Amrollahi', 'http://dbpedia.org/resource/Iran']","['http://dbpedia.org/resource/Reza_Amrollahi', 'http://dbpedia.org/resource/Category:1590_in_Iran']",0.5,0.5
Which title of Zaman Shah Durrani is also the nationality of Salahuddin ,which title of <A> is also the nationality of <B> ,"['http://dbpedia.org/resource/Zaman_Shah_Durrani', 'http://dbpedia.org/resource/Salahuddin_Rabbani']","['http://dbpedia.org/resource/Zaman_Shah_Durrani', 'http://dbpedia.org/resource/Salahuddin']",0.5,0.5
In which war did Roh Tae Woo and Lee Leffingwell fight,in which war did <A> and <B> fight,"['http://dbpedia.org/resource/Roh_Tae-woo', 'http://dbpedia.org/resource/Lee_Leffingwell']","['http://dbpedia.org/resource/Roh_Tae_Woo', 'http://dbpedia.org/resource/Lee_Leffingwell']",0.5,0.5
list  the producer of the movies in which Rosemarie DeWitt in the star cast,list the producer of the movies in which <A> in the star cast,['http://dbpedia.org/resource/Rosemarie_DeWitt'],['http://dbpedia.org/resource/Rosemarie_DeWitt'],1.0,1.0
What can be cooked out of things belonging to the order Sapindales,what can be cooked out of things belonging to the order <A>,['http://dbpedia.org/resource/Sapindales'],['http://dbpedia.org/resource/Sapindales'],1.0,1.0
How many  TV shows were made by someone who was associated with Lewis Hamilton,how many tv shows were made by someone who was associated with <A>,['http://dbpedia.org/resource/Lewis_Hamilton'],['http://dbpedia.org/resource/Lewis_Hamilton'],1.0,1.0
What is the city whose mayor is Giorgos Kaminis,what is the city whose mayor is <A>,['http://dbpedia.org/resource/Giorgos_Kaminis'],['http://dbpedia.org/resource/Giorgos_Kaminis'],1.0,1.0
Name the alma mater of Michael hahn ,name the alma mater of <A> ,['http://dbpedia.org/resource/Michael_Hahn'],['http://dbpedia.org/resource/Michael_Hahn'],1.0,1.0
How many party leaders are there whose parties are headquartered in Berlin,how many party leaders are there whose parties are headquartered in <A>,['http://dbpedia.org/resource/Berlin'],['http://dbpedia.org/resource/Air_Berlin'],0.0,0.0
How many total religions are followed by people whose hometown is somewhere in India,how many total religions are followed by people whose hometown is somewhere in <A>,['http://dbpedia.org/resource/India'],['http://dbpedia.org/resource/1500_in_India'],0.0,0.0
Who are the cast members of The Simpsons Ride,who are the cast members of <A>,['http://dbpedia.org/resource/The_Simpsons_Ride'],['http://dbpedia.org/resource/Simpsons_Ride'],0.0,0.0
Which american football team  has stadium as O.co Coliseum,which american football team has stadium as <A>,['http://dbpedia.org/resource/O.co_Coliseum'],['http://dbpedia.org/resource/O.co_Coliseum'],1.0,1.0
What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor,what woman acted in of <A> humans and is often associated with <B>,"['http://dbpedia.org/resource/The_Mating_Habits_of_the_Earthbound_Human', 'http://dbpedia.org/resource/Mams_Taylor']","['http://dbpedia.org/resource/Changing_Habits', 'http://dbpedia.org/resource/EarthBound']",0.0,0.0
List the products of Playboy Enterprises,list the products of <A>,['http://dbpedia.org/resource/Playboy_Enterprises'],['http://dbpedia.org/resource/Playboy_Enterprises'],1.0,1.0
Did Gwo Ka originate in Western Africa,did <A> originate in western <B>,"['http://dbpedia.org/resource/Gwo_ka', 'http://dbpedia.org/resource/West_Africa']","['http://dbpedia.org/resource/Gwo_ka', 'http://dbpedia.org/resource/Category:1496_in_Africa']",0.5,0.5
What are some artists on the show whose opening theme is Send It On,what are some artists on the show whose opening theme is <A> it on,"[""http://dbpedia.org/resource/Send_It_On_(Disney's_Friends_for_Change_song)""]",['http://dbpedia.org/resource/Send'],0.0,0.0
Which company has a product named Visual Studio and One Drive as service ,which company has a product named <B> and <A> as service ,"['http://dbpedia.org/resource/OneDrive', 'http://dbpedia.org/resource/Microsoft_Visual_Studio']","['http://dbpedia.org/resource/Visual_Studio', 'http://dbpedia.org/resource/One_Drive']",0.0,0.0
Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).,give me the total number of commander of the military conflicts whose commander is <A>.,['http://dbpedia.org/resource/Roundhead_(Wyandot)'],['http://dbpedia.org/resource/Roundhead_(Wyandot)'],1.0,1.0
Who is the player who plays for the team that has the Michigan Stadium,who is the player who plays for the team that has the <A>,['http://dbpedia.org/resource/Michigan_Stadium'],['http://dbpedia.org/resource/Michigan_Stadium'],1.0,1.0
Which country's leader is David Johnston,which country leader is <A>,['http://dbpedia.org/resource/David_Johnston'],['http://dbpedia.org/resource/David_Johnston'],1.0,1.0
How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved,how many factions have fought in wars where francois le de <A> was involved,['http://dbpedia.org/resource/François-Marie_Le_Marchand_de_Lignery'],['http://dbpedia.org/resource/Marie_Curie'],0.0,0.0
Who is the leader of the town where the Myntdu river originates,who is the leader of the town where the <A> originates,['http://dbpedia.org/resource/Myntdu_River'],['http://dbpedia.org/resource/Myntdu_River'],1.0,1.0
List the movies whose editors are born in London.,list the movies whose editors are born in <A>.,['http://dbpedia.org/resource/London'],['http://dbpedia.org/resource/Category:1675_in_London'],0.0,0.0
"What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the Ann Lewis ",what is the incumbent of the <A> and also the president of the <B> ,"['http://dbpedia.org/resource/Al_Gore_presidential_campaign,_2000', 'http://dbpedia.org/resource/Ann_Lewis']","['http://dbpedia.org/resource/Al_Gore_presidential_campaign,_2000', 'http://dbpedia.org/resource/Ann_Lewis']",1.0,1.0
Which royal person married the successor of Darius I,which royal person married the successor of <A>,['http://dbpedia.org/resource/Darius_I'],['http://dbpedia.org/resource/Darius_I'],1.0,1.0
What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ,what is the region of the <A> which is also served by the <B> ,"['http://dbpedia.org/resource/Kim_Sawchuk', 'http://dbpedia.org/resource/Airtours_International_Airways']","['http://dbpedia.org/resource/Kim_Sawchuk', 'http://dbpedia.org/resource/Airtours_International']",0.5,0.5
Where was Antonio Giannini born,where was <A> born,['http://dbpedia.org/resource/Antonio_Giannini'],['http://dbpedia.org/resource/Antonio_Giannini'],1.0,1.0
Where was David Scherman trained ,where was <A> trained ,['http://dbpedia.org/resource/David_Scherman'],['http://dbpedia.org/resource/David_Scherman'],1.0,1.0
Which company offer service of Outlook.com and OneDrive,which company offer service of <A> and <B>,"['http://dbpedia.org/resource/Outlook.com', 'http://dbpedia.org/resource/OneDrive']","['http://dbpedia.org/resource/Outlook.com', 'http://dbpedia.org/resource/OneDrive']",1.0,1.0
What is the province of Rouen Business School ,what is the province of <A> ,['http://dbpedia.org/resource/Rouen_Business_School'],['http://dbpedia.org/resource/Rouen_Business_School'],1.0,1.0
What religions do politicians in the Korean Minjoo Party follow,what religions do politicians in the korean <A> follow,['http://dbpedia.org/resource/Minjoo_Party_of_Korea'],['http://dbpedia.org/resource/Minjoo_Party'],0.0,0.0
Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ,give me the total number of employer of the engineers whose one of the employer is <A> ,['http://dbpedia.org/resource/McDonnell_Aircraft'],['http://dbpedia.org/resource/McDonnell_Aircraft'],1.0,1.0
"What were the major actions taken by the politicians living in Gales Ferry, Connecticut",what were the major actions taken by the politicians living in <A>,"['http://dbpedia.org/resource/Gales_Ferry,_Connecticut']","['http://dbpedia.org/resource/Gales_Ferry,_Connecticut']",1.0,1.0
"Where was Live in Detroit, MI recorded ",where was <A> recorded ,"['http://dbpedia.org/resource/Live_in_Detroit,_MI']","['http://dbpedia.org/resource/Live_in_Detroit,_MI']",1.0,1.0
who all have been a manager of english under twenty one football team,who have been a manager of english twenty one footb <A>,['http://dbpedia.org/resource/England_national_under-21_football_team'],['http://dbpedia.org/resource/All_(band)'],0.0,0.0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits,name the sea with <A> as one of the shore city and is also an outflow for <B>,"['http://dbpedia.org/resource/Helsinki', 'http://dbpedia.org/resource/Danish_straits']","['http://dbpedia.org/resource/Helsinki', 'http://dbpedia.org/resource/Danish_Straits']",0.5,0.5
What awards have been won by the executive producer of Timmy Time ,what awards have been won by the executive producer of <A> ,['http://dbpedia.org/resource/Timmy_Time'],['http://dbpedia.org/resource/Timmy_Time'],1.0,1.0
What is the district of Fort Heath radar station ,what is the district of <A> ,['http://dbpedia.org/resource/Fort_Heath_radar_station'],['http://dbpedia.org/resource/Fort_Heath_radar_station'],1.0,1.0
What is the common nickname given both to Harding academy and Lyons township high school,what is the common nickname given both to <A> and <B>,"['http://dbpedia.org/resource/Harding_Academy_(Memphis)', 'http://dbpedia.org/resource/Lyons_Township_High_School']","['http://dbpedia.org/resource/Harding_Academy', 'http://dbpedia.org/resource/Lyons_Township_High_School']",0.5,0.5
